Waterbody,Project,Replicate,Habitat,Date,Taxon,Stage,Insect,Origin,Higher.classification,Order,Family,Common.name,Abundance,Location
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Coenagrion/Enallagma,L,insect,Aquatic,Arthropoda: Insecta,Odonata,Coenagrionidae,damselflies,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Chironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,17.22,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Dicrotendipes,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Parachironomus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae,midges,86.1,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Paratanytarsus,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Chironominae: Tanytarsini,midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Nanocladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Orthocladiinae,midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Procladius,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Chironomidae: Tanypodinae,midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Ceratopogoninae,L,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Ceratopogoninae,P,insect,Aquatic,Arthropoda: Insecta,Diptera,Ceratopogonidae,no-see-um midges,8.61,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Nemata,U,non-insect,Aquatic,Nemata,miscellaneous non-insect,x,round worms,51.66,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Hyalella,U,non-insect,Aquatic,Crustacea: Amphipoda,x,Talitridae,scuds,25.83,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Ostracoda,U,non-insect,Aquatic,Crustacea: Ostracoda,x,x,seed shrimp,25.83,NA
Lake Tahoe,Tahoe Keys West Lagoon,18,mid-channel,2021-06-04,Oligochaeta,U,non-insect,Aquatic,Annelida: Oligochaeta,miscellaneous non-insect,x,segmented worms,189.42,NA
