"Taxon","Stage","Family","Common.name","Insect.","Higher.classification","Origin","Order","BCG.Attribute","Feeding.Group","CA.feeding.group","Habit","Tolerance","WY.HBI","PSSB.tolerance","CA.tolerance","Metals.tolerance","BCI.TV","PSSB.long.lived","Voltinism","Development","Occurrence.in.drift","Size.at.maturity","Rheophily","Thermal.preference","a","b"
"Nemata","U","x","round worms","non-insect","Nemata","Aquatic","miscellaneous non-insect",4,"PA","PR","BU","0",5,0,6,11,108,0,2,2,1,2,2,2,0.0758,0.74
"Oligochaeta","U","x","segmented worms","non-insect","Annelida: Oligochaeta","Aquatic","miscellaneous non-insect",4,"CG","CG","BU","0",5,0,5,11,108,0,2,2,1,2,2,2,0.0758,0.74
"Physella","U","Physidae","snails","non-insect","Mollusca: Gastropoda","Aquatic","x",5,"CG","SC","CL","HT",8,0,8,4,108,0,3,2,2,2,2,3,0.0208,3.03
"Gyraulus","U","Planorbidae","snails","non-insect","Mollusca: Gastropoda","Aquatic","x",5,"SC","SC","CL","HT",8,0,8,3,108,0,3,2,1,1,2,3,0.0208,3.03
"Ostracoda","U","x","seed shrimp","non-insect","Crustacea: Ostracoda","Aquatic","x",4,"CG","CG","SW","0",8,0,6,11,108,0,3,2,1,1,2,2,0.006753,2.27
"Hyalella","U","Talitridae","scuds","non-insect","Crustacea: Amphipoda","Aquatic","x",4,"CG","CG","SW","HT",8,0,8,3,108,0,3,2,2,1,2,2,0.0058,3.015
"Coenagrion/Enallagma","L","Coenagrionidae","damselflies","insect","Arthropoda: Insecta","Aquatic","Odonata",5,"PR","PR","CM","HT",8,0,9,11,72,0,2,2,1,2,2,3,0.0051,2.785
"Ceratopogoninae","L","Ceratopogonidae","no-see-um midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"PR","PR","SP","0",6,0,6,4,108,0,2,1,1,2,2,2,0.0025,2.469
"Ceratopogoninae","P","Ceratopogonidae","no-see-um midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"PR","PR","SP","0",6,0,6,4,108,0,2,1,1,2,2,2,0.0025,2.469
"Chironomus","L","Chironomidae: Chironominae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",5,"CG","CG","BU","HT",10,0,10,7,108,0,3,1,3,2,1,2,0.0018,2.617
"Dicrotendipes","L","Chironomidae: Chironominae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","BU","MT",8,0,8,5,108,0,3,1,3,1,1,2,0.0018,2.617
"Nanocladius","L","Chironomidae: Orthocladiinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","SP","0",3,0,3,11,108,0,3,1,3,1,2,2,0.0018,2.617
"Parachironomus","L","Chironomidae: Chironominae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"PR","PR","SP","MT",10,0,10,4,108,0,3,1,3,1,1,2,0.0018,2.617
"Paratanytarsus","L","Chironomidae: Chironominae: Tanytarsini","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CF","CF","CL","0",6,0,6,3,108,0,3,1,3,1,2,2,0.0018,2.617
"Procladius","L","Chironomidae: Tanypodinae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",5,"PR","PR","SP","HT",9,0,9,5,108,0,3,1,3,1,2,2,0.0018,2.617
"Hydra","U","Hydridae","hydroids","non-insect","Cnidaria: Hydrozoa","Aquatic","miscellaneous non-insect",4,"PR","PR","CL","MT",5,0,5,11,108,0,3,2,1,1,2,2,0.006753,2.27
"Trepaxonemata","U","x","flat worms","non-insect","Turbellaria","Aquatic","miscellaneous non-insect",4,"PR","PR","CL","0",4,0,4,11,108,0,2,2,1,2,2,2,0.0082,2.168
"Sphaeriidae","U","Sphaeriidae","pea clams","non-insect","Mollusca: Bivalvia","Aquatic","x",4,"CF","CF","BU","0",8,0,8,3,108,0,1,3,1,1,2,2,0.0163,2.477
"Menetus","U","Planorbidae","snails","non-insect","Mollusca: Gastropoda","Aquatic","x",4,"SC","SC","CL","MT",8,0,6,11,108,0,3,2,1,1,2,2,0.0208,3.03
"Crangonyx","U","Crangonyctidae","scuds","non-insect","Crustacea: Amphipoda","Aquatic","x",5,"CG","CG","SW","MT",11,0,4,11,108,0,3,2,1,2,2,2,0.0058,3.015
"Limnesia","U","x","mites","non-insect","Arachnida: Acari","Aquatic","x",4,"PA","PR","SW","0",5,0,5,11,108,0,3,2,2,1,2,2,0.053,2.494
"Mideopsis","U","x","mites","non-insect","Arachnida: Acari","Aquatic","x",4,"PA","PR","SW","0",5,0,5,11,108,0,3,2,2,1,2,2,0.053,2.494
"Oxyethira","L","Hydroptilidae","caddisflies","insect","Arthropoda: Insecta","Aquatic","Trichoptera",5,"PH","PH","CM","HT",3,0,3,2,108,0,3,2,1,1,2,3,0.0056,2.839
"Hydroptila","L","Hydroptilidae","caddisflies","insect","Arthropoda: Insecta","Aquatic","Trichoptera",4,"PH","PH","CL","MT",6,0,6,4,108,0,3,2,2,1,2,2,0.0056,2.839
"Oecetis","L","Leptoceridae","caddisflies","insect","Arthropoda: Insecta","Aquatic","Trichoptera",4,"PR","PR","CM","MT",8,0,8,3,54,0,2,2,1,2,2,2,0.0034,3.212
"Oecetis","P","Leptoceridae","caddisflies","insect","Arthropoda: Insecta","Aquatic","Trichoptera",4,"PR","PR","CM","MT",8,0,8,3,54,0,2,2,1,2,2,2,0.0034,3.212
"Chironomidae","P","Chironomidae","midges","insect","Arthropoda: Insecta","Aquatic","Diptera",4,"CG","CG","BU","0",6,0,6,11,108,0,3,1,3,1,2,2,0.0018,2.617
