Site_Number,site_num,group_b_name
1,1,NA
2,2,NA
3,3,NA
5,5,NA
7,7,NA
8,8,NA
9,9,NA
10,10,NA
11,11,NA
12,12,NA
13,13,NA
14,14,NA
15,15,NA
16,16,NA
17,17,NA
18,18,NA
19,19,NA
20,20,NA
21,21,NA
22,22,NA
23,23,NA
24,24,NA
25,25,NA
26,26,NA
27,27,NA
1UVa 2023,1,1UVa2023
1UVa2023,1,1UVa2023
1UVb2023,1,1UVa2023
1UVB2023,1,1UVa2023
26UVa 2023,26,26UVa2023
26UVa2023,26,26UVa2023
26UVA2023,26,26UVa2023
2Uva2023,2,2UVa2023
2UVa2023,2,2UVa2023
2UVaa2023,2,2UVa2023
3UVa2023,3,3UVa2023
3UVb2023,3,3UVa2023
3UVB2023,3,3UVa2023
5UVa2023,5,5UVa2023
5UVA2023,5,5UVa2023
9UVa2023,9,9UVa2023
9UVA2023,9,9UVa2023
26UVa2024,26,26UVb2024
9UVb2024,9,9UVb2024
3UVb2024,3,3UVb2024
5UVx2024,5,5UVb2024
5UVa2024,5,5UVb2024
26 UV,26,26UVb2024
3UV,3,3UVb2024
5UV,5,5UVb2024
1UVb2024,1,1UVb2024
5UVb2024,5,5UVb2024
