WC_Sample_Site_Name,Lab_Samp_No,Matrix_ID,Date_Collected,Date_Received,Date_Analyzed,Lab_Name,Analytical_Method,Analyte,Lab_Result_Qualifier,Result,Units,MDL,Reporting_Limit,Comments,ESA_omit_data,ESA_Flag,PercentDif,Site_Number,qa_type,Notes
Rinsate Blank,23080233-001,Surface Water,8/7/2023,8/8/2023,8/23/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,B,0.0958,mg/L,0.0062,0.02,,,ARL,,RB,rinsate_blank,
RINSATE,23080234-001,Surface Water,8/7/2023,8/8/2023,8/23/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,B,0.0899,mg/L,0.0062,0.02,,,ARL,,RB,rinsate_blank,
RINSATE,23080441-005,Surface Water,8/14/2023,8/15/2023,8/30/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,B,0.0861,mg/L,0.0062,0.02,,,ARL,,RB,rinsate_blank,
Rinsate,23060729-002,Surface Water,6/26/2023,6/27/2023,7/6/2023,WETLab,SM 4500-P E,Total Phosphorous as P,B,0.0308,mg/L,0.0059,0.02,,,ARL,,RB,rinsate_blank,
Rinsate,23070531-006,Surface Water,7/17/2023,7/18/2023,7/26/2023,WETLab,SM 4500-P E,Total Phosphorous as P,B,0.0331,mg/L,0.0059,0.02,,,ARL,,RB,rinsate_blank,
Rinsate,23070531-006,Surface Water,7/17/2023,7/18/2023,7/26/2023,WETLab,SM 4500-P E,Total Phosphorous as P,B,0.0331,mg/L,0.0059,0.02,,,ARL,,RB,rinsate_blank,
RINSATE,23080441-005,Surface Water,8/14/2023,8/15/2023,8/17/2023,WETLab,SM 4500-P E,Total Phosphorous as P,B,0.0463,mg/L,0.0059,0.02,,,ARL,,RB,rinsate_blank,
Rinsate,23090451-005,Surface Water,9/19/2023,9/19/2023,9/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,B,0.0293,mg/L,0.0062,0.02,,,ARL,,RB,rinsate_blank,
Rinsate,23070302-001,Surface Water,7/10/2023,7/11/2023,8/4/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,B,0.0239,mg/L,0.0062,0.02,,,ARL,,RB,rinsate_blank,
Rinsate,23090267-001,Surface Water,9/12/2023,9/12/2023,9/14/2023,WETLab,SM 4500-P E,Total Phosphorous as P,B,0.0732,mg/L,0.0059,0.02,,,ARL,,RB,rinsate_blank,
Rinsate,23090454-001,Surface Water,9/19/2023,9/19/2023,9/28/2023,WETLab,EPA 353.2,Nitrate + Nitrite Nitrogen,B,0.0204,mg/L,0.0062,0.02,,,ARL,,RB,rinsate_blank,
SITE 9/9UVa2023,23080234-003,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,1.6593,mg/L,0.11,0.2,,,,,9UVa2023,field_primary,
Site 20,23060095-007,Surface Water,6/5/2023,6/6/2023,6/16/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,1.63665,mg/L,0.11,0.2,,,,,20,field_primary,
SITE 18,23080234-007,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,1.2217,mg/L,0.11,0.2,,,,,18,field_primary,
Site 20,23070086-001,Surface Water,7/5/2023,7/6/2023,7/24/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,1.15095,mg/L,0.11,0.2,,,,,20,field_primary,
site 12,23080233-006,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,1.1194,mg/L,0.11,0.2,,,,,12,field_primary,
SITE 15,23080234-006,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,1.0598,mg/L,0.11,0.2,,,,,15,field_primary,
SITE 10,23080234-008,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,1.0274,mg/L,0.11,0.2,,,,,10,field_primary,
SITE 20,23080441-001,Surface Water,8/14/2023,8/15/2023,8/22/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,1.01075,mg/L,0.11,0.2,,,,,20,field_primary,
SITE 26/26UVa2023,23080234-004,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.9308,mg/L,0.11,0.2,,,,,26UVa2023,field_primary,
SITE 20,23080234-002,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.85415,mg/L,0.11,0.2,,,,,20,field_primary,
2UVa2023,23080233-003,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.8291,mg/L,0.11,0.2,,,,,2UVa2023,field_primary,
3UVa2023,23080233-004,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.8172,mg/L,0.11,0.2,,,,,3UVa2023,field_primary,
site 11,23080233-005,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.8031,mg/L,0.11,0.2,,,,,11,field_primary,
SITE 11,23080441-004,Surface Water,8/14/2023,8/15/2023,8/22/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.7521,mg/L,0.11,0.2,,,,,11,field_primary,
site 14,23080233-008,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.7359,mg/L,0.11,0.2,,,,,14,field_primary,
SITE 17,23080234-005,Surface Water,8/7/2023,8/8/2023,8/17/2023,WETLab,EPA 351.2,Total Kjeldahl Nitrogen,B,0.73505,mg/L,0.11,0.2,,,,,17,field_primary,
