species,species_label,species_grp,selected,comment
bladderwort,Bladderwort,Native,no,
chara,Chara,Native,no,macroalgae
coontail,Coontail,Coontail,yes,
curlyleaf_pondweed,Curlyleaf Pondweed,AIP,yes,
elodea,Elodea,Native,yes,
eurasian_watermilfoil,Eurasian Watermilfoil,AIP,yes,
filamentous_algae,Filamentous Algae,Algae,no,
leafy_pondweed,Leafy Pondweed,Native,no,
najas,Najas,Native,no,macroalgae
nitella,Nitella,Native,no,
northern_watermilfoil,Northern Watermilfoil,Native,no,
quillwort,Quillwort,Native,no,
richardsons_pondweed,Richardson's Pondweed,Native,yes,
sagittaria,Sagittaria,Native,no,
sago_pondweed,Sago Pondweed,Native,no,
spirogyra,Spirogyra,Algae,no,
variable_leaf_pondweed,Variable Leaf Pondweed,Native,no,
water_smartweed,Water Smartweed,Native,yes,
watershield,Watershield,Native,yes,
white_water_buttercup,White Water Buttercup,Native,no,
yellow_pond_lily,Yellow Pond Lily,Native,no,
elodea_nuttallii,Elodea nuttalli,Native,no,
andean_watermilfoil,Andean Watermilfoil,Native,no,
white_water_crowfoot,White Water Crowfoot,Native,no,
